title,make,model,year,condition,transmission,price
Toyota RAV4 2015 Gray,Toyota,RAV4,2015,foreign used,automatic,"₦ 18,500,000"
Toyota Camry 2020 Silver,Toyota,Camry,2020,foreign used,automatic,"₦ 28,500,000"
Hyundai Sonata 2014 Red,Hyundai,Sonata,2014,foreign used,automatic,"₦ 13,200,000"
Mercedes-Benz M Class 2014 Black,Mercedes-Benz,M Class,2014,local used,automatic,"₦ 19,000,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6AM) 2010 Gray,Toyota,Camry LE,2010,foreign used,automatic,"₦ 12,200,000"
Toyota RAV4 2018 Teal,Toyota,RAV4,2018,foreign used,automatic,"₦ 28,500,000"
Hyundai Sonata 2011 Silver,Hyundai,Sonata,2011,foreign used,automatic,"₦ 12,500,000"
Mercedes-Benz GLK-Class 2014 Silver,Mercedes-Benz,GLK-Class,2014,foreign used,automatic,"₦ 25,500,000"
Lexus IS 2006 Silver,Lexus,IS,2006,local used,automatic,"₦ 8,500,000"
Toyota Hilux SR5 4x4 2016 White,Toyota,Hilux SR5,2016,foreign used,automatic,"₦ 58,000,000"
Toyota Sienna XLE 7 Passenger Auto Access Seat (3.5L 6cyl 6A) 2016 Gray,Toyota,Sienna XLE,2016,foreign used,automatic,"₦ 25,000,000"
Lexus LX 570 AWD 2017 Black,Lexus,LX 570,2017,foreign used,automatic,"₦ 118,500,000"
Hyundai Tucson 2019 Blue,Hyundai,Tucson,2019,foreign used,automatic,"₦ 39,000,000"
Toyota Yaris iA 1.5 FWD 2019 White,Toyota,Yaris iA,2019,foreign used,automatic,"₦ 18,800,000"
Toyota 4-Runner Limited 4dr 4x4 (4.0L 6cyl 5A) 2017 Black,Toyota,4-Runner Limited,2017,foreign used,automatic,"₦ 57,000,000"
Lexus RX 450H 4WD 2021 White,Lexus,RX 450H,2021,foreign used,automatic,"₦ 75,000,000"
Ford Escape 2013 White,Ford,Escape,2013,foreign used,automatic,"₦ 14,500,000"
New Toyota Fortuner 4.0 AWD 2023 Black,New,Toyota Fortuner,2023,brand new,automatic,"₦ 95,000,000"
Toyota Tacoma Limited 2018 Gray,Toyota,Tacoma Limited,2018,foreign used,automatic,"₦ 38,000,000"
Toyota Tacoma 2013 White,Toyota,Tacoma,2013,foreign used,automatic,"₦ 23,800,000"
Honda Accord 2014 Gray,Honda,Accord,2014,foreign used,automatic,"₦ 17,500,000"
Lexus TX TX 350 AWD 2024 Silver,Lexus,TX TX,2024,foreign used,automatic,"₦ 170,000,000"
Toyota Tacoma TRD PRO V6 4dr Double Cab 4WD 5.0 ft. SB (4.0L 6cyl 6M),,,,foreign used,automatic,"₦ 25,800,000"
Lexus RX 300 4WD 2003 Green,Lexus,RX 300,2003,foreign used,automatic,"₦ 10,000,000"
Mercedes-Benz GLK-Class 350 4MATIC 2014 Silver,Mercedes-Benz,GLK-Class 350,2014,foreign used,automatic,"₦ 22,500,000"
Lexus GX 470 Sport Utility 2007 Green,Lexus,GX 470,2007,foreign used,automatic,"₦ 17,500,000"
Mercedes-Benz GLA 250 2021 White,Mercedes-Benz,GLA 250,2021,foreign used,automatic,"₦ 55,000,000"
Dodge Caliber SXT 2012 Silver,Dodge,Caliber SXT,2012,foreign used,automatic,"₦ 10,500,000"
Lexus RX 350 AWD 2013 Gray,Lexus,RX 350,2013,foreign used,automatic,"₦ 28,000,000"
Toyota Camry 2010 Gray,Toyota,Camry,2010,foreign used,automatic,"₦ 11,500,000"
Toyota Avensis 2005 Silver,Toyota,Avensis,2005,foreign used,automatic,"₦ 9,500,000"
Mercedes-Benz GLE-Class AMG GLE 63 S 4MATIC 2016 Black,Mercedes-Benz,GLE-Class AMG,2016,foreign used,automatic,"₦ 82,000,000"
Mercedes-Benz C300 Luxury 4matic Sedan AWD (2.0L 4cyl 7A) 2017 Blue,Mercedes-Benz,C300 Luxury,2017,foreign used,automatic,"₦ 26,500,000"
Lexus LX 570 AWD 2016 White,Lexus,LX 570,2016,local used,automatic,"₦ 72,000,000"
Toyota Corolla LE ECO 4dr Sedan (1.8L 4cyl CVT) 2017 Red,Toyota,Corolla LE,2017,foreign used,automatic,"₦ 16,900,000"
Honda Accord EX 4dr Sedan FWD (2.4L 4cyl 2A) 2013 White,Honda,Accord EX,2013,foreign used,automatic,"₦ 14,650,000"
Honda Accord EX-L 4dr Sedan FWD (2.4L 4cyl 2A) 2013 Burgundy,Honda,Accord EX-L,2013,foreign used,automatic,"₦ 14,500,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2016 Silver,Toyota,Camry SE,2016,foreign used,automatic,"₦ 17,000,000"
Honda Accord EX-L V-6 4dr Sedan w/Navigation (3.5L 6cyl 6A) 2014 Black,Honda,Accord EX-L,2014,foreign used,automatic,"₦ 14,000,000"
Toyota Camry 2012 Gray,Toyota,Camry,2012,foreign used,automatic,"₦ 14,000,000"
Lexus RX 350 AWD 2012 Black,Lexus,RX 350,2012,foreign used,automatic,"₦ 21,000,000"
Toyota RAV4 Limited V6 2008 Gray,Toyota,RAV4 Limited,2008,foreign used,automatic,"₦ 11,500,000"
Toyota Corolla S Premium 4dr Sedan (1.8L 4cyl CVT) 2015 Black,Toyota,Corolla S,2015,foreign used,automatic,"₦ 16,000,000"
Toyota Camry 2013 Gray,Toyota,Camry,2013,foreign used,automatic,"₦ 14,000,000"
Tesla Model 3 2019 Gray,Tesla,Model 3,2019,foreign used,automatic,"₦ 60,000,000"
Toyota Corolla LE 2007 Blue,Toyota,Corolla LE,2007,local used,automatic,"₦ 4,500,000"
Pontiac Vibe 2006 Black,Pontiac,Vibe,2006,local used,automatic,"₦ 7,500,000"
Mercedes-Benz CLA-Class 2016 Black,Mercedes-Benz,CLA-Class,2016,foreign used,automatic,"₦ 15,500,000"
New Toyota Hilux 2023 Black,New,Toyota Hilux,2023,brand new,automatic,"₦ 95,000,000"
Toyota Tacoma Double Cab V6 Automatic 2011 Silver,Toyota,Tacoma Double,2011,foreign used,automatic,"₦ 22,500,000"
Toyota Fortuner 2021 White,Toyota,Fortuner,2021,foreign used,automatic,"₦ 59,000,000"
Toyota Highlander 2016 Gray,Toyota,Highlander,2016,foreign used,automatic,"₦ 33,000,000"
BMW X6 xDrive40i 2021 Black,BMW,X6 xDrive40i,2021,foreign used,automatic,"₦ 210,000,000"
Toyota RAV4 Limited 2008 Blue,Toyota,RAV4 Limited,2008,foreign used,automatic,"₦ 13,000,000"
Lexus RX 350 2007 Brown,Lexus,RX 350,2007,foreign used,automatic,"₦ 13,900,000"
RAM Promaster 2500 2017 Gray,RAM,Promaster 2500,2017,foreign used,automatic,"₦ 38,000,000"
Lexus IS 250 4WD 2015 Matt Black,Lexus,IS 250,2015,foreign used,automatic,"₦ 27,000,000"
Mercedes-Benz GLE-Class AMG GLE 53 4MATIC 2020 Black,Mercedes-Benz,GLE-Class AMG,2020,foreign used,automatic,"₦ 140,000,000"
Toyota RAV4 2019 Blue,Toyota,RAV4,2019,foreign used,automatic,"₦ 35,000,000"
Toyota Corolla SE 2021 Gray,Toyota,Corolla SE,2021,foreign used,automatic,"₦ 32,000,000"
Mercedes-Benz C300 Luxury 4Matic Sedan AWD (3.0L 6cyl 7A) 2011 Silver,Mercedes-Benz,C300 Luxury,2011,foreign used,automatic,"₦ 12,500,000"
Toyota Corolla 2012 Gold,Toyota,Corolla,2012,foreign used,automatic,"₦ 13,800,000"
Mercedes-Benz GLE-Class GLE 350 4MATIC 2020 Red,Mercedes-Benz,GLE-Class GLE,2020,foreign used,automatic,"₦ 115,000,000"
Lexus IS 250 4WD 2015 Black,Lexus,IS 250,2015,foreign used,automatic,"₦ 26,000,000"
Mercedes-Benz GL-Class 2015 White,Mercedes-Benz,GL-Class,2015,foreign used,automatic,"₦ 35,000,000"
Toyota Tacoma 2020 Red,Toyota,Tacoma,2020,foreign used,automatic,"₦ 40,000,000"
Lexus GX 470 2007 Blue,Lexus,GX 470,2007,foreign used,automatic,"₦ 19,500,000"
Toyota Venza 2015 Gray,Toyota,Venza,2015,foreign used,automatic,"₦ 25,500,000"
Lexus RX 350 AWD 2017 Gray,Lexus,RX 350,2017,foreign used,automatic,"₦ 38,500,000"
Toyota Corolla CE 2006 Black,Toyota,Corolla CE,2006,foreign used,automatic,"₦ 11,150,000"
New Toyota Corolla XSE 2024 Silver,New,Toyota Corolla,2024,brand new,automatic,"₦ 43,500,000"
Honda Accord Sport 4dr Sedan FWD (2.4L 4cyl 2A) 2017 Black,Honda,Accord Sport,2017,foreign used,automatic,"₦ 14,300,000"
Toyota Corolla XSE 2023 White,Toyota,Corolla XSE,2023,foreign used,automatic,"₦ 26,000,000"
Toyota Camry 2005 Gold,Toyota,Camry,2005,foreign used,automatic,"₦ 7,800,000"
Lexus RX 350 AWD 2015 Maroon,Lexus,RX 350,2015,foreign used,automatic,"₦ 26,000,000"
Toyota Corolla 2015 Gray,Toyota,Corolla,2015,foreign used,automatic,"₦ 14,000,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2014 Gray,Toyota,Camry LE,2014,foreign used,automatic,"₦ 13,000,000"
Toyota Camry 2012 Black,Toyota,Camry,2012,foreign used,automatic,"₦ 14,000,000"
Toyota Sienna SE Premium 8 Passenger (3.5L 6cyl 8A) 2017 Gray,Toyota,Sienna SE,2017,foreign used,automatic,"₦ 27,000,000"
Mercedes-Benz GLE-Class GLE 350 4MATIC 2020 Gray,Mercedes-Benz,GLE-Class GLE,2020,foreign used,automatic,"₦ 74,500,000"
Toyota Highlander XLE AWD 2020 Gray,Toyota,Highlander XLE,2020,foreign used,automatic,"₦ 47,000,000"
Honda Accord 2011 White,Honda,Accord,2011,foreign used,automatic,"₦ 10,000,000"
Toyota Avalon Touring 2007 Blue,Toyota,Avalon Touring,2007,local used,automatic,"₦ 6,000,000"
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2014 Blue,Mercedes-Benz,M Class,2014,local used,automatic,"₦ 20,000,000"
Lexus ES 350 2011 Black,Lexus,ES 350,2011,local used,automatic,"₦ 9,500,000"
Toyota Venza AWD 2010 Gray,Toyota,Venza AWD,2010,foreign used,automatic,"₦ 18,000,000"
Mercedes-Benz M Class 2013 White,Mercedes-Benz,M Class,2013,foreign used,automatic,"₦ 25,500,000"
BMW X3 2014 Blue,BMW,X3,2014,foreign used,automatic,"₦ 21,800,000"
Toyota Highlander Limited 3.5l 4WD 2013 Blue,Toyota,Highlander Limited,2013,foreign used,automatic,"₦ 21,500,000"
Toyota C-HR Limited 2022 Black,Toyota,C-HR Limited,2022,foreign used,automatic,"₦ 38,000,000"
Toyota Camry 2016 Black,Toyota,Camry,2016,foreign used,automatic,"₦ 18,000,000"
Jeep Wrangler Sport 4x4 2017 Gray,Jeep,Wrangler Sport,2017,foreign used,automatic,"₦ 58,000,000"
Toyota Tundra Limited CrewMax 6.5' Bed 2024 Blue,Toyota,Tundra Limited,2024,foreign used,automatic,"₦ 150,000,000"
Mercedes-Benz GLS-Class GLS550 4MATIC 2018 White,Mercedes-Benz,GLS-Class GLS550,2018,foreign used,automatic,"₦ 65,000,000"
Mercedes-Benz GLA 250 2015 Black,Mercedes-Benz,GLA 250,2015,foreign used,automatic,"₦ 25,000,000"
Toyota Tundra CrewMax 4x4 Limited 2011 Black,Toyota,Tundra CrewMax,2011,foreign used,automatic,"₦ 32,000,000"
Honda HR-V 4dr SUV (1.5L 4cyl CVT) 2016 Silver,Honda,HR-V 4dr,2016,foreign used,automatic,"₦ 20,700,000"
Toyota Highlander Limited 4x4 V6 (3.5L 6cyl 8A) 2018 Red,Toyota,Highlander Limited,2018,foreign used,automatic,"₦ 34,000,000"
New Toyota Land Cruiser Prado 2.8 2025 Black,New,Toyota Land,2025,brand new,automatic,"₦ 149,000,000"
Lexus RX 350 FWD 2014 Red,Lexus,RX 350,2014,foreign used,automatic,"₦ 25,800,000"
Toyota Highlander Limited 3.5L 2WD 2013 Blue,Toyota,Highlander Limited,2013,foreign used,automatic,"₦ 18,800,000"
Toyota RAV4 XLE Premium 2022 Matt Black,Toyota,RAV4 XLE,2022,foreign used,automatic,"₦ 45,000,000"
Toyota Avalon 2014 Black,Toyota,Avalon,2014,foreign used,automatic,"₦ 20,000,000"
Toyota Yaris 2008 Blue,Toyota,Yaris,2008,foreign used,automatic,"₦ 9,500,000"
Lexus ES 350 2009 Burgundy,Lexus,ES 350,2009,foreign used,automatic,"₦ 11,400,000"
Lexus RX 350 2010 Blue,Lexus,RX 350,2010,foreign used,automatic,"₦ 21,800,000"
Lexus ES 350 2011 Green,Lexus,ES 350,2011,foreign used,automatic,"₦ 14,500,000"
Mercedes-Benz M Class ML 350 BlueTEC 4Matic 2013 Red,Mercedes-Benz,M Class,2013,foreign used,automatic,"₦ 29,500,000"
Mercedes-Benz GLE-Class GLE 350d 4MATIC 2016 White,Mercedes-Benz,GLE-Class GLE,2016,foreign used,automatic,"₦ 43,000,000"
Lexus RX 2008 Gold,Lexus,RX,2008,foreign used,automatic,"₦ 10,850,000"
Hyundai Santa Fe Limited 4dr SUV (3.3L 6cyl 6A) 2014 Black,Hyundai,Santa Fe,2014,local used,automatic,"₦ 12,500,000"
Honda Accord LX 2018 Blue,Honda,Accord LX,2018,local used,automatic,"₦ 19,999,999"
Kia Morning 2012 Red,Kia,Morning,2012,foreign used,automatic,"₦ 8,800,000"
Hyundai Ix35 2013 Black,Hyundai,Ix35,2013,local used,automatic,"₦ 5,550,000"
Toyota Highlander 2022 Black,Toyota,Highlander,2022,foreign used,automatic,"₦ 72,000,000"
Lexus ES 350 FWD 2013 Blue,Lexus,ES 350,2013,foreign used,automatic,"₦ 19,000,000"
Honda CR-V 2010 Gray,Honda,CR-V,2010,foreign used,automatic,"₦ 8,750,000"
Toyota Corolla LE 2004 Red,Toyota,Corolla LE,2004,foreign used,automatic,"₦ 8,500,000"
Lexus RX 350 2024 Gray,Lexus,RX 350,2024,foreign used,automatic,"₦ 110,000,000"
Lexus RX 350 AWD 2012 Red,Lexus,RX 350,2012,foreign used,automatic,"₦ 20,500,000"
Toyota Matrix 2013 Black,Toyota,Matrix,2013,foreign used,automatic,"₦ 13,000,000"
Toyota Sienna LE AWD 2008 Silver,Toyota,Sienna LE,2008,foreign used,automatic,"₦ 10,000,000"
Toyota Camry 2006 Red,Toyota,Camry,2006,foreign used,automatic,"₦ 8,500,000"
Lexus RX 350 FWD 2015 White,Lexus,RX 350,2015,foreign used,automatic,"₦ 25,000,000"
Toyota Corolla 2015 Silver,Toyota,Corolla,2015,foreign used,automatic,"₦ 14,000,000"
Lexus RX 2010 Pink,Lexus,RX,2010,local used,automatic,"₦ 12,100,000"
Mercedes-Benz C43 2019 Black,Mercedes-Benz,C43,2019,foreign used,automatic,"₦ 48,000,000"
Mercedes-Benz E350 2010 Gray,Mercedes-Benz,E350,2010,foreign used,automatic,"₦ 12,000,000"
Mercedes-Benz E350 2010 Gray,Mercedes-Benz,E350,2010,local used,automatic,"₦ 7,500,000"
Hyundai Sonata 2018 White,Hyundai,Sonata,2018,foreign used,automatic,"₦ 18,000,000"
Mazda CX-9 2008 Blue,Mazda,CX-9,2008,local used,automatic,"₦ 9,000,000"
Kia Optima 2015 Gray,Kia,Optima,2015,foreign used,automatic,"₦ 17,500,000"
Toyota Camry SE 2024 Black,Toyota,Camry SE,2024,foreign used,automatic,"₦ 16,300,000"
Honda Accord 2013 Black,Honda,Accord,2013,local used,automatic,"₦ 11,300,000"
Toyota Corolla 2005 Silver,Toyota,Corolla,2005,local used,automatic,"₦ 7,200,000"
Hyundai Ix35 2012 Red,Hyundai,Ix35,2012,local used,automatic,"₦ 11,500,000"
New BYD Song Plus 2025 Gray,New,BYD Song,2025,brand new,automatic,"₦ 85,000,000"
Toyota Hilux SR 4x4 2015 Silver,Toyota,Hilux SR,2015,local used,automatic,"₦ 39,000,000"
Toyota Sequoia 2004 Teal,Toyota,Sequoia,2004,foreign used,automatic,"₦ 7,500,000"
Mercedes-Benz E350 2011 Black,Mercedes-Benz,E350,2011,foreign used,automatic,"₦ 17,500,000"
Toyota Sienna XLE FWD 2006 Red,Toyota,Sienna XLE,2006,foreign used,automatic,"₦ 10,500,000"
Toyota Land Cruiser 5.7 V8 VX-S 2012 Silver,Toyota,Land Cruiser,2012,foreign used,automatic,"₦ 59,000,000"
Toyota Hilux 2016 White,Toyota,Hilux,2016,foreign used,manual,"₦ 55,000,000"
Toyota RAV4 XLE Premium 2021,Toyota,RAV4 XLE,2021,foreign used,automatic,"₦ 45,000,000"
Lexus RX 350 2011 Black,Lexus,RX 350,2011,foreign used,automatic,"₦ 21,500,000"
Hyundai Tucson GLS AWD 2014 Red,Hyundai,Tucson GLS,2014,foreign used,automatic,"₦ 14,500,000"
Toyota Camry 2015 Red,Toyota,Camry,2015,foreign used,automatic,"₦ 22,000,000"
Lexus GX 460 Luxury 2015 White,Lexus,GX 460,2015,foreign used,automatic,"₦ 48,500,000"
BMW X1 xDrive28i AWD 2017 White,BMW,X1 xDrive28i,2017,foreign used,automatic,"₦ 35,000,000"
Honda CR-V 2017 Brown,Honda,CR-V,2017,foreign used,automatic,"₦ 26,000,000"
Mercedes-Benz M Class ML 350 BlueTEC 4Matic 2012 Blue,Mercedes-Benz,M Class,2012,foreign used,automatic,"₦ 28,500,000"
Lexus RX 350 FWD 2013 Brown,Lexus,RX 350,2013,foreign used,automatic,"₦ 28,500,000"
Hyundai Tucson Limited AWD 2016 Black,Hyundai,Tucson Limited,2016,foreign used,automatic,"₦ 23,500,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2012 Black,Toyota,Camry XLE,2012,foreign used,automatic,"₦ 15,800,000"
Toyota Avalon 2013 White,Toyota,Avalon,2013,foreign used,automatic,"₦ 21,000,000"
Toyota Camry 2015 Blue,Toyota,Camry,2015,foreign used,automatic,"₦ 17,500,000"
Mercedes-Benz GLK-Class 2015 White,Mercedes-Benz,GLK-Class,2015,foreign used,automatic,"₦ 26,800,000"
Mercedes-Benz GLE-Class GLE 350d 4MATIC 2018 Black,Mercedes-Benz,GLE-Class GLE,2018,foreign used,automatic,"₦ 45,000,000"
Toyota Sienna 2017 Silver,Toyota,Sienna,2017,foreign used,automatic,"₦ 39,500,000"
Mini Countryman Cooper FWD 2015 Black,Mini,Countryman Cooper,2015,foreign used,manual,"₦ 15,000,000"
Toyota Solara 3.3 Convertible 2006 White,Toyota,Solara 3,2006,foreign used,automatic,"₦ 11,000,000"
Toyota Corolla Cross 2023 White,Toyota,Corolla Cross,2023,foreign used,automatic,"₦ 52,000,000"
New Toyota Hilux 2023 Black,New,Toyota Hilux,2023,brand new,automatic,"₦ 120,000,000"
Toyota Venza 2021 Gold,Toyota,Venza,2021,foreign used,automatic,"₦ 70,000,000"
Acura MDX 2010 Gray,Acura,MDX,2010,foreign used,automatic,"₦ 11,800,000"
Lexus GX 470 Sport Utility 2008 Blue,Lexus,GX 470,2008,foreign used,automatic,"₦ 17,500,000"
Toyota Corolla 2010 Silver,Toyota,Corolla,2010,foreign used,automatic,"₦ 12,000,000"
Acura MDX 2009 Silver,Acura,MDX,2009,foreign used,automatic,"₦ 9,800,000"
Toyota 4-Runner 2008 Gray,Toyota,4-Runner,2008,foreign used,automatic,"₦ 14,500,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2018 White,Mercedes-Benz,GLE-Class AMG,2018,local used,automatic,"₦ 43,500,000"
Toyota Camry XLE 4dr Sedan (3.5L 6cyl 6A) 2015 Gray,Toyota,Camry XLE,2015,foreign used,automatic,"₦ 21,700,000"
Toyota Camry SE w/Special Edition Pkg (2.5L 4cyl 6A) 2016 White,Toyota,Camry SE,2016,local used,automatic,"₦ 12,350,000"
Toyota Camry XLE 4dr Sedan (3.5L 6cyl 6A) 2015 Gold,Toyota,Camry XLE,2015,foreign used,automatic,"₦ 18,500,000"
Toyota Corolla SE 2022 Silver,Toyota,Corolla SE,2022,foreign used,automatic,"₦ 28,000,000"
Honda Civic Sedan LX 2013 Silver,Honda,Civic Sedan,2013,foreign used,automatic,"₦ 12,700,000"
Land Rover Range Rover Sport HSE MHEV 4x4 2020 Gray,Land,Rover Range,2020,foreign used,automatic,"₦ 98,000,000"
Acura MDX SUV 4dr AWD (3.7 6cyl 5A) 2008 Gold,Acura,MDX SUV,2008,foreign used,automatic,"₦ 10,000,000"
Acura MDX Technology Package SUV AWD (3.7L 6cyl 6A) 2012 Black,Acura,MDX Technology,2012,foreign used,automatic,"₦ 11,800,000"
Honda Accord 2.4 Executive 2009 Silver,Honda,Accord 2,2009,foreign used,automatic,"₦ 10,500,000"
Toyota Camry SE 4dr Sedan (2.4L 4cyl 5A) 2005 Silver,Toyota,Camry SE,2005,foreign used,automatic,"₦ 8,300,000"
Acura MDX SUV 4dr AWD (3.7L 6cyl 6A) 2013 Black,Acura,MDX SUV,2013,foreign used,automatic,"₦ 12,000,000"
Lexus RX 2013 Gray,Lexus,RX,2013,foreign used,automatic,"₦ 25,000,000"
Honda Crosstour 3.5 AWD 2013 Black,Honda,Crosstour 3,2013,foreign used,automatic,"₦ 15,000,000"
Lexus RX 350 2010 Black,Lexus,RX 350,2010,foreign used,automatic,"₦ 19,000,000"
Toyota Camry XLE 4dr Sedan (2.4L 4cyl 4A) 2004 Gray,Toyota,Camry XLE,2004,foreign used,automatic,"₦ 7,500,000"
Toyota Corolla LE 2007 Gray,Toyota,Corolla LE,2007,foreign used,automatic,"₦ 8,700,000"
Lexus RX 350 AWD 2015 Black,Lexus,RX 350,2015,foreign used,automatic,"₦ 25,000,000"
Lexus RX 2007 Silver,Lexus,RX,2007,local used,automatic,"₦ 11,000,000"
Hyundai Elantra 2017 Red,Hyundai,Elantra,2017,foreign used,automatic,"₦ 13,200,000"
Mercedes-Benz E350 Base 4dr Sedan RWD (3.5L 6cyl 7A) 2016 White,Mercedes-Benz,E350 Base,2016,foreign used,automatic,"₦ 20,500,000"
Lexus GX 460 Luxury 2014 Black,Lexus,GX 460,2014,foreign used,automatic,"₦ 45,000,000"
Lexus RX 2010 Black,Lexus,RX,2010,local used,automatic,"₦ 18,000,000"
Mercedes-Benz GLE-Class 2018 Silver,Mercedes-Benz,GLE-Class,2018,foreign used,automatic,"₦ 83,000,000"
Mercedes-Benz E350 2014 Black,Mercedes-Benz,E350,2014,foreign used,automatic,"₦ 18,000,000"
Toyota Camry 2012 Black,Toyota,Camry,2012,local used,automatic,"₦ 10,500,000"
Mercedes-Benz GLE-Class GLE 350 4MATIC 2020 Blue,Mercedes-Benz,GLE-Class GLE,2020,foreign used,automatic,"₦ 85,000,000"
Lexus ES 2013 Black,Lexus,ES,2013,foreign used,automatic,"₦ 20,000,000"
Toyota 4-Runner Limited 4x4 2018 Gray,Toyota,4-Runner Limited,2018,foreign used,automatic,"₦ 65,000,000"
Lexus RX 350 2010 Red,Lexus,RX 350,2010,foreign used,automatic,"₦ 22,500,000"
Honda Ridgeline RTX 2008 Silver,Honda,Ridgeline RTX,2008,foreign used,automatic,"₦ 16,500,000"
Toyota Highlander Limited 2009 White,Toyota,Highlander Limited,2009,foreign used,automatic,"₦ 15,300,000"
Toyota C-HR Limited 2021 White,Toyota,C-HR Limited,2021,foreign used,automatic,"₦ 40,000,000"
Toyota Land Cruiser 2007 Black,Toyota,Land Cruiser,2007,foreign used,automatic,"₦ 29,000,000"
Toyota Corolla Verso 2006 Silver,Toyota,Corolla Verso,2006,foreign used,automatic,"₦ 11,000,000"
Mercedes-Benz GLK-Class 350 4MATIC 2014 White,Mercedes-Benz,GLK-Class 350,2014,foreign used,automatic,"₦ 21,500,000"
Toyota Corolla 2019 Brown,Toyota,Corolla,2019,foreign used,automatic,"₦ 35,000,000"
Ford Explorer 2013 Black,Ford,Explorer,2013,foreign used,automatic,"₦ 22,000,000"
Honda Accord Touring 2.0T 2018 Brown,Honda,Accord Touring,2018,foreign used,automatic,"₦ 35,000,000"
Lexus RX 330 2006 Blue,Lexus,RX 330,2006,foreign used,automatic,"₦ 13,500,000"
Toyota Camry 2013 Silver,Toyota,Camry,2013,foreign used,automatic,"₦ 14,500,000"
Toyota Tacoma 2020 White,Toyota,Tacoma,2020,foreign used,automatic,"₦ 45,000,000"
Hyundai Elantra 2017 Black,Hyundai,Elantra,2017,foreign used,automatic,"₦ 15,500,000"
Toyota Yaris iA 1.5 FWD 2017 Blue,Toyota,Yaris iA,2017,foreign used,automatic,"₦ 14,500,000"
Toyota Matrix L Hatchback FWD (1.8L 4cyl 5M) 2011 Gold,Toyota,Matrix L,2011,foreign used,automatic,"₦ 11,500,000"
Toyota RAV4 Limited FWD 2020 White,Toyota,RAV4 Limited,2020,foreign used,automatic,"₦ 43,000,000"
Toyota 4-Runner Limited V6 4x4 2005 Black,Toyota,4-Runner Limited,2005,foreign used,automatic,"₦ 13,000,000"
Kia K5 2.0 T-GDI 2013 Matt Black,Kia,K5 2,2013,foreign used,automatic,"₦ 25,000,000"
Kia Soul 2014 Green,Kia,Soul,2014,foreign used,automatic,"₦ 14,000,000"
Toyota Corolla XSE 2022 Silver,Toyota,Corolla XSE,2022,foreign used,automatic,"₦ 38,000,000"
Lexus GX 460 Luxury 2019 Black,Lexus,GX 460,2019,foreign used,automatic,"₦ 85,000,000"
Toyota Tacoma TRD Sport 2018 Gray,Toyota,Tacoma TRD,2018,foreign used,automatic,"₦ 43,000,000"
Hyundai Palisade 2021 Gray,Hyundai,Palisade,2021,foreign used,automatic,"₦ 73,000,000"
Mercedes-Benz GLC-Class 2018 Blue,Mercedes-Benz,GLC-Class,2018,foreign used,automatic,"₦ 65,000,000"
Toyota Verso 2013 Gray,Toyota,Verso,2013,foreign used,automatic,"₦ 17,000,000"
Honda Civic Sport Coupe 2019 Gray,Honda,Civic Sport,2019,foreign used,automatic,"₦ 24,000,000"
Lexus LX 470 Sport Utility 2006 White,Lexus,LX 470,2006,foreign used,automatic,"₦ 22,000,000"
Honda Pilot EX-L 4dr SUV 4WD (3.5L 6cyl 5A) 2017 Gray,Honda,Pilot EX-L,2017,foreign used,automatic,"₦ 30,000,000"
Toyota Corolla 2008 Silver,Toyota,Corolla,2008,foreign used,manual,"₦ 9,500,000"
Toyota RAV4 2015 Brown,Toyota,RAV4,2015,foreign used,automatic,"₦ 23,000,000"
Toyota Matrix 2010 Blue,Toyota,Matrix,2010,foreign used,automatic,"₦ 11,500,000"
Mercedes-Benz C300 Luxury 4dr AWD 4Matic Sedan (2.0L 4cyl 7A) 2015,Mercedes-Benz,C300 Luxury,2015,foreign used,automatic,"₦ 24,700,000"
Acura MDX Advance Package SUV AWD (3.7L 6cyl 6A) 2010 Red,Acura,MDX Advance,2010,foreign used,automatic,"₦ 11,800,000"
Honda CR-V 2013 Black,Honda,CR-V,2013,foreign used,automatic,"₦ 19,800,000"
Toyota 4-Runner Limited 4x4 V6 2007 Black,Toyota,4-Runner Limited,2007,foreign used,automatic,"₦ 17,800,000"
Toyota Camry 3.5 LE 2008 Silver,Toyota,Camry 3,2008,foreign used,automatic,"₦ 10,800,000"
Lexus ES 350 FWD 2013 Matt Black,Lexus,ES 350,2013,foreign used,automatic,"₦ 24,000,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2007 Blue,Toyota,Camry LE,2007,local used,automatic,"₦ 7,200,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Red,Toyota,Camry SE,2013,foreign used,automatic,"₦ 14,000,000"
Volvo XC90 T6 R-Design 4dr SUV AWD (2.0L 4cyl Twincharger 8A) 2016,Volvo,XC90 T6,2016,foreign used,automatic,"₦ 37,000,000"
Toyota Camry SE V6 4dr Sedan (3.5L 6cyl 6A) 2012 Gray,Toyota,Camry SE,2012,local used,automatic,"₦ 11,200,000"
