title,make,model,year,condition,transmission,price
Ford Explorer Limited 4dr 4x4 (3.5L 6cyl 6A) 2012 White,Ford,Explorer Limited,2012,foreign used,automatic,"₦ 17,000,000"
Lexus GX 460 Luxury 2014 Gold,Lexus,GX 460,2014,foreign used,automatic,"₦ 52,000,000"
Toyota Solara 3.3 Convertible 2006 White,Toyota,Solara 3,2006,foreign used,automatic,"₦ 12,500,000"
Toyota Avalon 2014 Gray,Toyota,Avalon,2014,foreign used,automatic,"₦ 20,500,000"
Lexus IS 250 SE AWD 2007 Gray,Lexus,IS 250,2007,foreign used,automatic,"₦ 15,000,000"
Toyota Corolla LE Special Edition 4dr Sedan (1.8L 4cyl 4A) 2013 Blue,Toyota,Corolla LE,2013,foreign used,automatic,"₦ 13,000,000"
Toyota Sienna XLE AWD 7-Passenger 2023 Black,Toyota,Sienna XLE,2023,foreign used,automatic,"₦ 88,000,000"
Lexus ES 350 2009 Gray,Lexus,ES 350,2009,foreign used,automatic,"₦ 11,500,000"
Toyota Granvia 2023 Black,Toyota,Granvia,2023,foreign used,automatic,"₦ 105,000,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2015 Red,Toyota,Camry SE,2015,foreign used,automatic,"₦ 17,500,000"
Mercedes-Benz G-Class G 65 AMG 4MATIC 2012 Black,Mercedes-Benz,G-Class G,2012,foreign used,automatic,"₦ 85,000,000"
Mercedes-Benz C300 2013 Black,Mercedes-Benz,C300,2013,foreign used,automatic,"₦ 14,500,000"
Toyota Tacoma Double Cab V6 Automatic 2009 Black,Toyota,Tacoma Double,2009,foreign used,automatic,"₦ 21,500,000"
Toyota Camry XLE FWD (2.5L 4cyl 8AM) 2018 Silver,Toyota,Camry XLE,2018,foreign used,automatic,"₦ 38,000,000"
Lexus ES 350 FWD 2016 White,Lexus,ES 350,2016,foreign used,automatic,"₦ 35,000,000"
Mercedes-Benz GLC-Class 2017 White,Mercedes-Benz,GLC-Class,2017,foreign used,automatic,"₦ 33,500,000"
Honda Pilot EX-L 4x4 (3.5L 6cyl 5A) 2003 Silver,Honda,Pilot EX-L,2003,local used,automatic,"₦ 3,200,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2014 Silver,Toyota,Camry SE,2014,foreign used,automatic,"₦ 13,900,000"
Mercedes-Benz C450 2016 White,Mercedes-Benz,C450,2016,local used,automatic,"₦ 27,000,000"
Toyota RAV4 2019 Red,Toyota,RAV4,2019,foreign used,automatic,"₦ 37,500,000"
Toyota Venza 2013 Red,Toyota,Venza,2013,foreign used,automatic,"₦ 18,000,000"
Toyota Corolla 2011 Black,Toyota,Corolla,2011,foreign used,automatic,"₦ 12,800,000"
Lexus IS 2014 White,Lexus,IS,2014,local used,automatic,"₦ 18,500,000"
Toyota Corolla 2014 Red,Toyota,Corolla,2014,foreign used,automatic,"₦ 16,700,000"
Mercedes-Benz M Class ML350 4dr SUV (3.5L 6cyl 7A) 2015 Blue,Mercedes-Benz,M Class,2015,foreign used,automatic,"₦ 29,500,000"
New Toyota Hilux 2022 Gray,New,Toyota Hilux,2022,brand new,automatic,"₦ 95,000,000"
Ford Explorer Limited 4dr FWD (2.0L 4cyl 6A) 2012 Brown,Ford,Explorer Limited,2012,foreign used,automatic,"₦ 18,500,000"
Toyota RAV4 XLE AWD 2020 Gray,Toyota,RAV4 XLE,2020,foreign used,automatic,"₦ 41,500,000"
Toyota Corolla 2010 Green,Toyota,Corolla,2010,foreign used,automatic,"₦ 11,800,000"
Toyota 4-Runner 4.7 2003 White,Toyota,4-Runner 4,2003,foreign used,automatic,"₦ 10,500,000"
Toyota Highlander XLE 4x2 V6 (3.5L 6cyl 8A) 2018 Black,Toyota,Highlander XLE,2018,foreign used,automatic,"₦ 37,000,000"
Mercedes-Benz GL-Class 450 2016 Blue,Mercedes-Benz,GL-Class 450,2016,foreign used,automatic,"₦ 45,000,000"
Toyota Sequoia Platinum w/FFV 4x4 2018 Black,Toyota,Sequoia Platinum,2018,foreign used,automatic,"₦ 45,000,000"
Toyota Highlander XLE 4x4 V6 (3.5L 6cyl 8A) 2018 Silver,Toyota,Highlander XLE,2018,foreign used,automatic,"₦ 39,000,000"
Volvo XC90 SUV 4dr V8 FWD (4.4L 8cyl 6A) 2009 Black,Volvo,XC90 SUV,2009,foreign used,automatic,"₦ 13,500,000"
Toyota Venza V6 AWD 2010 Blue,Toyota,Venza V6,2010,foreign used,automatic,"₦ 19,500,000"
Lexus GX 460 2021 Gray,Lexus,GX 460,2021,foreign used,automatic,"₦ 120,000,000"
Honda Accord Sport 2.0T 2021 Blue,Honda,Accord Sport,2021,foreign used,automatic,"₦ 35,000,000"
Lexus RX 350 FWD 2014 Black,Lexus,RX 350,2014,foreign used,automatic,"₦ 28,000,000"
Lexus ES 350 2010 Blue,Lexus,ES 350,2010,foreign used,automatic,"₦ 14,800,000"
Toyota Matrix 2005 Blue,Toyota,Matrix,2005,foreign used,automatic,"₦ 8,200,000"
Toyota Camry 2016 Silver,Toyota,Camry,2016,foreign used,automatic,"₦ 22,000,000"
Mercedes-Benz M Class ML 350 4Matic 2012 Black,Mercedes-Benz,M Class,2012,foreign used,automatic,"₦ 24,000,000"
Toyota Avensis 2014 Black,Toyota,Avensis,2014,local used,automatic,"₦ 9,000,000"
Toyota Land Cruiser Prado 4.0 Petrol TX-L 2015 Black,Toyota,Land Cruiser,2015,local used,automatic,"₦ 32,500,000"
Lexus RX 2000 Blue,Lexus,RX,2000,local used,automatic,"₦ 3,800,000"
Mercedes-Benz GLK-Class 350 4MATIC 2011 White,Mercedes-Benz,GLK-Class 350,2011,foreign used,automatic,"₦ 16,000,000"
Toyota Highlander XLE 2022 Gray,Toyota,Highlander XLE,2022,foreign used,automatic,"₦ 56,000,000"
Honda Accord 2014 White,Honda,Accord,2014,foreign used,automatic,"₦ 15,800,000"
Mercedes-Benz GLC-Class 2020 White,Mercedes-Benz,GLC-Class,2020,foreign used,automatic,"₦ 48,500,000"
Toyota Corolla 1.8 Sedan 2002 Red,Toyota,Corolla 1,2002,local used,automatic,"₦ 5,000,000"
Lexus RX 2013 White,Lexus,RX,2013,foreign used,automatic,"₦ 27,000,000"
Mercedes-Benz M Class 2013 Black,Mercedes-Benz,M Class,2013,foreign used,automatic,"₦ 25,000,000"
Toyota Camry 2018 Black,Toyota,Camry,2018,foreign used,automatic,"₦ 23,000,000"
Toyota Corolla 2015 Red,Toyota,Corolla,2015,local used,automatic,"₦ 12,800,000"
Hyundai Sonata Sport 4dr Sedan (2.4L 4cyl 6A) 2015 White,Hyundai,Sonata Sport,2015,foreign used,automatic,"₦ 17,500,000"
Toyota Camry 2018 Black,Toyota,Camry,2018,foreign used,automatic,"₦ 30,500,000"
Toyota Hilux Revo Double Cab Deisel 2.4 RWD 2018 White,Toyota,Hilux Revo,2018,foreign used,manual,"₦ 54,000,000"
Toyota Highlander XLE 2021 Gray,Toyota,Highlander XLE,2021,foreign used,automatic,"₦ 63,000,000"
Lexus ES 350 FWD 2016 Brown,Lexus,ES 350,2016,foreign used,automatic,"₦ 30,000,000"
Toyota Sequoia Platinum w/FFV 4x4 2018 Black,Toyota,Sequoia Platinum,2018,foreign used,automatic,"₦ 45,000,000"
Toyota Camry 2016 Red,Toyota,Camry,2016,foreign used,automatic,"₦ 18,500,000"
Mercedes-Benz C300 Luxury 4dr AWD 4Matic Sedan (2.0L 4cyl 7A) 2015,Mercedes-Benz,C300 Luxury,2015,foreign used,automatic,"₦ 24,000,000"
Toyota Sequoia 2016 Gray,Toyota,Sequoia,2016,foreign used,automatic,"₦ 47,000,000"
BMW X7 xDrive40i 2023 White,BMW,X7 xDrive40i,2023,foreign used,automatic,"₦ 140,000,000"
Toyota Corolla S 4dr Sedan (1.8L 4cyl CVT) 2015 Silver,Toyota,Corolla S,2015,foreign used,automatic,"₦ 15,400,000"
Mercedes-Benz GLE-Class GLE 350 2016 Black,Mercedes-Benz,GLE-Class GLE,2016,foreign used,automatic,"₦ 29,000,000"
